id,name,birthdate,country,atp_rank,points,hard_points,clay_points,grass_points
281,Sergio Gomez-Barrio,1970-10-16,ESP,,,,,
282,Toby Mitchell,1976-08-20,AUS,,,,,
283,Daniel Elsner,1979-01-04,GER,,,,,
284,Laurence Tieleman,1972-11-14,ITA,,,,,
285,Miguel Tobon (1968),1968-06-22,COL,,,,,
286,Razvan Sabau,1977-06-18,ROU,,,,,
287,David Nainkin,1970-09-20,RSA,,,,,
288,Paradorn Srichaphan,1979-06-14,THA,,,,,
289,Eyal Ran,1972-11-21,ISR,,,,,
290,Patrik Langvardt,1971-12-06,DEN,,,,,
291,Frederik Fetterlein,1970-07-11,DEN,,,,,
292,Hendrik-Jan Davids,1969-01-30,NED,,,,,
293,Joost Winnink,1971-06-30,NED,,,,,
294,Roger Smith,1964-01-20,BAH,,,,,
295,Henrik Holm,1968-08-22,SWE,,,,,
296,Martin Rodriguez,1969-12-18,ARG,,,,,
297,Shuzo Matsuoka,1967-11-06,JPN,,,,,
298,Guy Forget,1965-01-04,FRA,,,,,
299,Emanuel Rasberger,1972-06-03,CRO,,,,,
300,David Di Lucia,1970-01-15,USA,,,,,
301,John van Lottum,1976-04-10,NED,,,,,
302,Franz Stauder,1977-05-28,GER,,,,,
303,Alexander Volkov,1967-03-03,RUS,,,,,
304,Joshua Eagle,1973-05-10,AUS,,,,,
305,Oleg Ogorodov,1972-07-16,UZB,,,,,
306,Tamer El Sawy,1972-02-11,EGY,,,,,
307,Nicolas Pereira,1970-09-29,VEN,,,,,
308,Raviv Weidenfeld,1970-10-12,ISR,,,,,
309,Abdul-Hamid Makhkamov,1976-02-11,UZB,,,,,
310,Sasa Hirszon,1972-07-14,CRO,,,,,
311,Wolfgang Schranz,1976-03-18,AUT,,,,,
312,Gouichi Motomura,1973-12-25,JPN,,,,,
313,Jean-Philippe Fleurian,1965-09-11,FRA,,,,,
314,Jim Grabb,1964-04-14,USA,,,,,
315,Ivan Baron,1972-11-12,USA,,,,,
316,Marcus Sarstrand,1978-07-24,SWE,,,,,
317,Luis Morejon,1973-03-28,ECU,,,,,
318,Salvador Navarro-Gutierrez,1977-01-08,ESP,,,,,
319,German Lopez-Montoya,1971-12-29,ESP,,,,,
320,Chris Wilkinson,1970-01-05,GBR,,,,,
321,Bing Pan,1970-02-13,CHN,,,,,
322,Chris Haggard,1971-04-28,RSA,,,,,
323,Jamie Delgado,1977-03-21,GBR,,,,,
324,Sebastian Prieto,1975-05-19,ARG,,,,,
325,Geoff Grant,1970-01-16,USA,,,,,
326,James Sekulov,1976-10-13,AUS,,,,,
327,David Rikl,1971-02-27,CZE,,,,,
328,Herbert Wiltschnig,1975-11-21,AUT,,,,,
329,Andrew Richardson,1974-03-14,GBR,,,,,
330,Marco Osorio,1972-04-01,MEX,,,,,
331,Ivo Heuberger,1976-02-19,SUI,,,,,
332,Marcus Hilpert,1971-07-01,GER,,,,,
333,Reed Cordish,1974-06-19,USA,,,,,
334,Sergi Duran-Bernad,1976-06-23,ESP,,,,,
335,Michael Shyjan,1969-10-29,USA,,,,,
336,Donald Johnson,1968-09-09,USA,,,,,
337,Dmitri Tomashevich,1974-03-06,UZB,,,,,
338,Nir Welgreen,1976-12-17,ISR,,,,,
339,Lorenzo Manta,1974-09-16,SUI,,,,,
340,Hideki Kaneko,1974-03-06,JPN,,,,,
341,Ruben Fernandez-Gil,1978-01-12,ESP,,,,,
342,Wade Mcguire,1969-08-19,USA,,,,,
343,Filippo Messori,1973-11-12,ITA,,,,,
345,Mario Rincon,1967-12-13,COL,,,,,
346,Johan Hede,1974-07-10,SWE,,,,,
347,Nicklas Timfjord,1977-03-18,SWE,,,,,
348,Fredrik Jonsson,1977-03-28,SWE,,,,,
349,Sebastien Leblanc,1973-12-27,CAN,,,,,
350,Andrei Rybalko,1972-06-05,UKR,,,,,
351,David Salvador-Estepa,1973-10-20,ESP,,,,,
352,Miles Maclagan,1974-09-23,GBR,,,,,
353,Carl Chang,1969-02-13,USA,,,,,
354,Larbi Rharnit,1976-04-18,MAR,,,,,
355,Elia Grossi,1974-06-03,ITA,,,,,
356,Alexei Belov,1972-05-19,RUS,,,,,
357,Alex Lopez-Moron,1970-11-28,ESP,,,,,
358,Zeljko Krajan,1979-02-03,CRO,,,,,
359,Hermes Gamonal,1977-05-31,CHI,,,,,
360,Bryan Shelton,1965-12-22,USA,,,,,
361,Olivier Mutis,1978-02-02,FRA,,,,,
362,Leonardo Lavalle,1967-07-14,MEX,,,,,
363,Jimy Szymanski,1975-09-15,VEN,,,,,
364,Maurice Ruah,1971-02-19,VEN,,,,,
365,Marco Meneschincheri,1972-04-25,ITA,,,,,
366,Stefano Pescosolido,1971-06-13,ITA,,,,,
367,Gregory Carraz,1975-04-09,FRA,,,,,
368,Thomas Schiessling,1974-11-01,AUT,,,,,
369,Petr Kralert,1979-10-20,CZE,,,,,
370,Ryan Wolters,1977-02-01,USA,,,,,
371,Clemens Trimmel,1978-06-08,AUT,,,,,
372,Miguel Pastura,1973-05-27,ARG,,,,,
373,Jaymon Crabb,1978-03-06,AUS,,,,,
374,Alexander Reichel,1971-03-09,USA,,,,,
375,Daniele Musa,1972-09-10,ITA,,,,,
376,Nicolas Thomann,1972-11-29,FRA,,,,,
377,Peter Wessels,1978-05-07,NED,,,,,
378,Lars Rehmann,1975-05-21,GER,,,,,
379,Rene Hanak,1973-05-04,CZE,,,,,
380,Kent Kinnear,1966-11-30,USA,,,,,
381,Pier Gauthier,1972-04-20,FRA,,,,,
382,Vincenzo Santopadre,1971-08-11,ITA,,,,,
383,David Adams,1970-01-05,RSA,,,,,
384,Francisco Montana (1969),1969-11-05,USA,,,,,
386,Thomas Shimada,1975-02-10,JPN,,,,,
387,Bruno Fragoso,1972-11-23,POR,,,,,
388,Bertrand Madsen,1972-05-18,HAI,,,,,
389,Tom Kempers,1969-06-01,NED,,,,,
390,Regis Lavergne,1974-01-28,FRA,,,,,
391,Scott Humphries,1976-05-26,USA,,,,,
393,Dong-Hyun Kim,1978-10-08,KOR,,,,,
394,Fredrik Bergh,1975-04-22,SWE,,,,,
395,Igor Tchelychev,1976-07-07,RUS,,,,,
396,Werner Eschauer,1974-04-26,AUT,,,,,
397,Mehdi Tahiri,1977-07-28,MAR,,,,,
398,Massimo Valeri,1972-03-13,ITA,,,,,
399,Susheel Narla,1976-12-07,IND,,,,,
400,Jerome Hanquez,1974-03-11,FRA,,,,,
401,Takao Suzuki,1976-09-20,JPN,,,,,
402,Arne Thoms,1971-01-01,GER,,,,,
403,Steven Downs,1975-09-08,NZL,,,,,
404,Satoshi Iwabuchi,1975-10-07,JPN,,,,,
405,Henrik Andersson,1977-05-01,SWE,,,,,
406,Frederic Niemeyer,1976-04-24,CAN,,,,,
407,Jia-Ping Xia,1969-03-01,CHN,,,,,
408,Rodolfo Rake,1979-07-13,PER,,,,,
409,Murphy Jensen,1968-10-30,USA,,,,,
410,Nick Weal,1973-09-04,GBR,,,,,
411,Bob Bryan,1978-04-29,USA,,,,,
412,Jocelyn Robichaud,1978-04-08,CAN,,,,,
413,Ronald Agenor,1964-11-13,HAI,,,,,
414,Jose Imaz-Ruiz,1974-05-30,ESP,,,,,
415,Tomas Zib,1976-01-31,CZE,,,,,
416,Nikos Rovas,1977-09-20,GRE,,,,,
417,Jimmy Arias,1964-08-16,USA,,,,,
418,Mariano Hood,1973-08-14,ARG,,,,,
419,Charles Auffray,1973-02-24,FRA,,,,,
420,Jean-Francois Bachelot,1977-06-11,FRA,,,,,
421,Lionnel Barthez,1967-05-18,FRA,,,,,
422,George Bastl,1975-04-01,SUI,,,,,
423,Aleksandar Kitinov,1971-01-13,MKD,,,,,
424,Giorgio Galimberti,1976-09-05,ITA,,,,,
425,Nick Gould,1972-07-09,GBR,,,,,
426,Jared Palmer,1971-07-02,USA,,,,,
427,Radek Stepanek,1978-11-27,CZE,,,,,
428,Jean-Baptiste Perlant,1977-02-22,FRA,,,,,
429,Markus Hantschk,1977-11-19,GER,,,,,
430,Michael Kohlmann,1974-01-11,GER,,,,,
431,Daniele Bracciali,1978-01-10,ITA,,,,,
432,Emanuel Couto,1973-08-06,POR,,,,,
433,T. J. Middleton,1968-05-02,USA,,,,,
434,Peter Nyborg,1969-12-12,SWE,,,,,
435,Raemon Sluiter,1978-04-13,NED,,,,,
436,Marcio Carlsson,1975-01-24,BRA,,,,,
437,Dusan Vemic,1976-06-17,SRB,,,,,
438,Lior Mor,1976-02-29,ISR,,,,,
439,Stefano Cobolli,1977-03-02,ITA,,,,,
440,Tomas Catar,1977-01-19,SVK,,,,,
441,Diego Hipperdinger,1977-01-24,ESP,,,,,
442,Taylor Dent,1981-04-24,USA,,,,,
443,Gabriel Trifu,1975-04-14,ROU,,,,,
444,Martin Verkerk,1978-10-31,NED,,,,,
445,Mark Draper,1971-02-11,AUS,,,,,
447,Barry Cowan,1974-08-25,GBR,,,,,
448,Wing-Luen 'Wayne' Wong,1981-03-21,HKG,,,,,
449,Juan-Luis Rascon-Lope,1971-03-02,ESP,,,,,
450,Oscar Serrano-Gamez,1978-05-25,ESP,,,,,
451,Thomas Messmer,1979-11-25,GER,,,,,
452,Jonathan Printzlau,1976-10-07,DEN,,,,,
453,Michael Russell,1978-05-01,USA,,,,,
454,Kotaro Miyachi,1974-02-18,JPN,,,,,
455,Yu Zhang,1976-09-26,CHN,,,,,
456,Wesley Whitehouse,1979-03-13,RSA,,,,,
457,Tetsuya Chaen,1973-11-05,JPN,,,,,
458,Mauricio Hadad,1971-12-07,COL,,,,,
459,Ricardo Schlachter,1977-07-07,BRA,,,,,
460,Mose Navarra,1974-07-18,ITA,,,,,
461,Borut Urh,1974-07-28,SLO,,,,,
462,Noam Behr,1975-10-13,ISR,,,,,
463,Kalle Flygt,1976-06-15,SWE,,,,,
464,Thierry Guardiola,1971-08-07,FRA,,,,,
465,Federico Browne,1976-04-07,ARG,,,,,
466,Eduardo Medica,1976-02-10,ARG,,,,,
467,Jordi Mas-Rodriguez,1971-10-31,ESP,,,,,
468,Feliciano Lopez,1981-09-20,ESP,,,,,
469,Bjorn Phau,1979-10-04,GER,,,,,
470,Ota Fukarek,1977-01-18,CZE,,,,,
471,Vadim Kutsenko,1977-03-16,UZB,,,,,
472,Attila Savolt,1976-02-05,HUN,,,,,
473,Andres Schneiter,1976-04-08,ARG,,,,,
474,Artemi Tchernenko,1978-04-04,RUS,,,,,
475,Yu Zheng,1976-05-15,CHN,,,,,
476,Paul Harsanyi,1974-12-30,USA,,,,,
477,Axel Pretzsch,1976-06-16,GER,,,,,
479,Rogier Wassen,1976-08-09,NED,,,,,
480,Pietro Angelini,1971-12-07,ITA,,,,,
481,Boris Bachert,1981-04-16,GER,,,,,
482,Pieter Norval,1970-04-07,RSA,,,,,
483,Tapio Nurminen,1975-10-12,FIN,,,,,
484,Federico Luzzi,1980-01-03,ITA,,,,,
485,Steven Randjelovic,1975-04-21,AUS,,,,,
486,Yong-Il Yoon,1973-09-23,KOR,,,,,
487,Luis Horna,1980-09-14,PER,,,,,
488,James Blake,1979-12-28,USA,,,,,
489,Kentaro Masuda,1971-08-26,JPN,,,,,
490,Andrew Park,1980-01-02,USA,,,,,
491,Eric Taino,1975-03-18,PHI,,,,,
492,Juan Ignacio Chela,1979-08-30,ARG,,,,,
493,Arvind Parmar,1978-03-22,GBR,,,,,
494,Cedric Kauffmann,1976-03-01,FRA,,,,,
495,Patrick Osuna,1973-12-06,USA,,,,,
496,Robert Lindstedt,1977-03-19,SWE,,,,,
497,Jean-Rene Lisnard,1979-09-25,MON,,,,,
498,Markus Menzler,1977-07-25,GER,,,,,
499,Kristian Pless,1981-02-09,DEN,,,,,
500,Florian Allgauer,1979-07-07,ITA,,,,,
501,Kirill Ivanov-Smolensky,1981-01-19,RUS,,,,,
502,Rodolphe Cadart,1978-08-08,FRA,,,,,
503,Johan Landsberg,1974-12-30,SWE,,,,,
504,Michael Hill,1974-06-30,AUS,,,,,
505,Nenad Zimonjic,1976-06-04,SRB,,,,,
506,David Miketa,1975-06-04,CZE,,,,,
507,German Puentes-Alcaniz,1972-12-18,ESP,,,,,
508,Jan-Frode Andersen,1972-08-29,NOR,,,,,
509,Philip Gubenco,1982-03-14,CAN,,,,,
510,Irakli Labadze,1981-06-09,GEO,,,,,
511,Hector Moretti,1973-01-27,ARG,,,,,
512,Ville Liukko,1974-05-24,FIN,,,,,
513,Yu Jr. Wang,1981-08-01,CHN,,,,,
514,Martin Spottl,1975-11-23,AUT,,,,,
515,Fernando Gonzalez,1980-07-29,CHI,,,,,
516,Igor Kunitsyn,1981-09-30,RUS,,,,,
517,Lovro Zovko,1981-03-18,CRO,,,,,
