generated_utc,variant,profile,status,description,source_suffix,transform,rows,logloss,brier,ece,bets,wins,losses,flat_pnl,flat_roi_pct,stake,tier_pnl,tier_roi_pct,avg_value_pct,by_year,stale_since
2026-07-12T18:08:02+00:00,atp250_hard_20,atp250_hard_20,ok,"Hard ATP250 high/medium only at >=20% edge. Candidate expansion, not live.",,current,10065,0.60229,0.20834,0.01059,266,99,167,-4.170,-1.568,532.00,-8.340,-1.568,33.685,2022:74/+5.8% 2023:73/+10.4% 2024:64/-20.2% 2025:55/-5.6%,
2026-06-09T22:25:35+00:00,h2h_n2_shrunk,strict,identity_stale,Model rerun: H2H active from n>=2 with 3-match prior shrinkage toward 50%.,h2h-n2-shrunk,current,9957,0.62213,0.21656,0.04974,365,150,215,31.880,8.734,588.50,72.400,12.302,23.214,2022:71/+1.5% 2023:89/-15.5% 2024:85/+23.7% 2025:120/+31.7%,2026-07-12T18:00:33+00:00
2026-06-09T22:25:35+00:00,h2h_n2_shrunk,volume_200_hard,identity_stale,Model rerun: H2H active from n>=2 with 3-match prior shrinkage toward 50%.,h2h-n2-shrunk,current,9957,0.62213,0.21656,0.04974,671,290,381,67.130,10.004,1039.50,118.460,11.396,23.494,2022:157/+6.7% 2023:170/+12.4% 2024:164/+15.5% 2025:180/+10.8%,2026-07-12T18:00:33+00:00
2026-06-09T22:25:35+00:00,h2h_n2_shrunk,hard_edge10_all,identity_stale,Model rerun: H2H active from n>=2 with 3-match prior shrinkage toward 50%.,h2h-n2-shrunk,current,9957,0.62213,0.21656,0.04974,1279,519,760,48.650,3.804,2013.50,119.550,5.937,23.566,2022:316/+5.1% 2023:333/+4.1% 2024:309/+8.5% 2025:308/+6.9% 2026:13/-11.3%,2026-07-12T18:00:33+00:00
2026-06-09T22:25:35+00:00,h2h_n2_shrunk,all_edge10,identity_stale,Model rerun: H2H active from n>=2 with 3-match prior shrinkage toward 50%.,h2h-n2-shrunk,current,9957,0.62213,0.21656,0.04974,2284,902,1382,17.010,0.745,3599.00,81.010,2.251,23.549,2022:550/-1.5% 2023:602/+8.1% 2024:556/+3.0% 2025:563/-0.8% 2026:13/-11.3%,2026-07-12T18:00:33+00:00
2026-06-09T22:25:35+00:00,fatigue_x1.5,strict,identity_stale,Model rerun: multiply v2 fatigue/rust delta by 1.5.,fatigue-x1.5,current,9957,0.62202,0.21653,0.04983,362,148,214,34.620,9.564,576.50,71.950,12.480,23.342,2022:72/+3.3% 2023:91/-14.1% 2024:86/+20.5% 2025:113/+33.8%,2026-07-12T18:00:33+00:00
2026-06-09T22:25:35+00:00,fatigue_x1.5,volume_200_hard,identity_stale,Model rerun: multiply v2 fatigue/rust delta by 1.5.,fatigue-x1.5,current,9957,0.62202,0.21653,0.04983,667,281,386,55.200,8.276,1031.00,97.115,9.419,23.502,2022:151/+8.1% 2023:173/+10.7% 2024:162/+14.2% 2025:181/+5.2%,2026-07-12T18:00:33+00:00
2026-06-09T22:25:35+00:00,fatigue_x1.5,hard_edge10_all,identity_stale,Model rerun: multiply v2 fatigue/rust delta by 1.5.,fatigue-x1.5,current,9957,0.62202,0.21653,0.04983,1284,516,768,31.030,2.417,2016.50,87.650,4.347,23.518,2022:318/+4.9% 2023:333/+4.0% 2024:312/+5.5% 2025:308/+3.7% 2026:13/-11.6%,2026-07-12T18:00:33+00:00
2026-06-09T22:25:35+00:00,fatigue_x1.5,all_edge10,identity_stale,Model rerun: multiply v2 fatigue/rust delta by 1.5.,fatigue-x1.5,current,9957,0.62202,0.21653,0.04983,2296,907,1389,7.830,0.341,3608.00,66.695,1.849,23.503,2022:557/-0.8% 2023:600/+9.7% 2024:561/+1.4% 2025:565/-3.2% 2026:13/-11.6%,2026-07-12T18:00:33+00:00
2026-06-09T22:25:35+00:00,tournament_form_caps_up,strict,identity_stale,Model rerun: raise same-tournament history cap from 3pp to 4pp.,tournament-form-caps-up,current,9957,0.62222,0.21660,0.04991,370,153,217,35.220,9.519,593.50,76.680,12.920,23.022,2022:71/+1.5% 2023:92/-13.1% 2024:86/+22.8% 2025:121/+32.8%,2026-07-12T18:00:33+00:00
2026-06-09T22:25:35+00:00,tournament_form_caps_up,volume_200_hard,identity_stale,Model rerun: raise same-tournament history cap from 3pp to 4pp.,tournament-form-caps-up,current,9957,0.62222,0.21660,0.04991,674,294,380,73.070,10.841,1040.50,124.705,11.985,23.334,2022:157/+6.7% 2023:171/+12.9% 2024:166/+15.9% 2025:180/+12.2%,2026-07-12T18:00:33+00:00
2026-06-09T22:25:35+00:00,tournament_form_caps_up,hard_edge10_all,identity_stale,Model rerun: raise same-tournament history cap from 3pp to 4pp.,tournament-form-caps-up,current,9957,0.62222,0.21660,0.04991,1281,522,759,55.130,4.304,2014.50,127.555,6.332,23.500,2022:314/+5.5% 2023:336/+4.6% 2024:310/+8.3% 2025:308/+7.9% 2026:13/-11.3%,2026-07-12T18:00:33+00:00
2026-06-09T22:25:35+00:00,tournament_form_caps_up,all_edge10,identity_stale,Model rerun: raise same-tournament history cap from 3pp to 4pp.,tournament-form-caps-up,current,9957,0.62222,0.21660,0.04991,2286,907,1379,28.940,1.266,3597.50,96.975,2.696,23.530,2022:549/-0.8% 2023:604/+8.9% 2024:558/+2.4% 2025:562/-0.0% 2026:13/-11.3%,2026-07-12T18:00:33+00:00
