league,club,rank,player,status,matched_squad_name,closest_squad_names,fotmob_team_id,source_url,error
epl,Brighton,tertiary,Ibrahim Osman,present,Ibrahim Osman,Ibrahim Osman,10204,https://www.fotmob.com/teams/10204/overview/brighton-hove-albion,
epl,Chelsea,primary,Cole Palmer,present,Cole Palmer,Cole Palmer | Marco Palestra,8455,https://www.fotmob.com/teams/8455/overview/chelsea,
epl,Chelsea,secondary,Estêvão,present,Estêvão,Estêvão,8455,https://www.fotmob.com/teams/8455/overview/chelsea,
epl,Chelsea,tertiary,João Pedro,present,João Pedro,João Pedro,8455,https://www.fotmob.com/teams/8455/overview/chelsea,
epl,Coventry City,primary,Haji Wright,present,Haji Wright,Haji Wright,8669,https://www.fotmob.com/teams/8669/overview/coventry-city,
epl,Coventry City,secondary,Victor Torp,present,Victor Torp,Victor Torp,8669,https://www.fotmob.com/teams/8669/overview/coventry-city,
epl,Coventry City,tertiary,Brandon Thomas-Asante,present,Brandon Thomas-Asante,Brandon Thomas-Asante,8669,https://www.fotmob.com/teams/8669/overview/coventry-city,
epl,Crystal Palace,primary,Jean-Philippe Mateta,present,Jean-Philippe Mateta,Jean-Philippe Mateta,9826,https://www.fotmob.com/teams/9826/overview/crystal-palace,
epl,Crystal Palace,secondary,Ismaïla Sarr,present,Ismaïla Sarr,Ismaïla Sarr,9826,https://www.fotmob.com/teams/9826/overview/crystal-palace,
epl,Crystal Palace,tertiary,Adam Wharton,present,Adam Wharton,Adam Wharton,9826,https://www.fotmob.com/teams/9826/overview/crystal-palace,
epl,Everton,primary,James Garner,present,James Garner,James Garner | James Tarkowski,8668,https://www.fotmob.com/teams/8668/overview/everton,
epl,Everton,secondary,Thierno Barry,present,Thierno Barry,Thierno Barry,8668,https://www.fotmob.com/teams/8668/overview/everton,
epl,Everton,tertiary,Kiernan Dewsbury-Hall,present,Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,8668,https://www.fotmob.com/teams/8668/overview/everton,
epl,Fulham,primary,Antonee Robinson,present,Antonee Robinson,Antonee Robinson,9879,https://www.fotmob.com/teams/9879/overview/fulham,
epl,Fulham,secondary,Rodrigo Muniz,present,Rodrigo Muniz,Rodrigo Muniz,9879,https://www.fotmob.com/teams/9879/overview/fulham,
epl,Fulham,tertiary,Gonzalo García,present,Gonzalo García,Gonzalo García,9879,https://www.fotmob.com/teams/9879/overview/fulham,
epl,Hull City,primary,Matt Crooks,present,Matt Crooks,Matt Crooks | Matty Jacob,8667,https://www.fotmob.com/teams/8667/overview/hull-city,
epl,Hull City,secondary,Oli McBurnie,present,Oli McBurnie,Oli McBurnie,8667,https://www.fotmob.com/teams/8667/overview/hull-city,
epl,Hull City,tertiary,David Akintola,present,David Akintola,David Akintola,8667,https://www.fotmob.com/teams/8667/overview/hull-city,
epl,Ipswich Town,primary,Jack Clarke,present,Jack Clarke,Jack Clarke | Jack Taylor,9902,https://www.fotmob.com/teams/9902/overview/ipswich,
epl,Ipswich Town,secondary,Jaden Philogene,present,Jaden Philogene-Bidace,Jaden Philogene-Bidace,9902,https://www.fotmob.com/teams/9902/overview/ipswich,
epl,Ipswich Town,tertiary,Julio Enciso,present,Julio Enciso,Julio Enciso,9902,https://www.fotmob.com/teams/9902/overview/ipswich,
epl,Leeds,primary,Dominic Calvert-Lewin,present,Dominic Calvert-Lewin,Dominic Calvert-Lewin,8463,https://www.fotmob.com/teams/8463/overview/leeds-united,
epl,Leeds,secondary,Lukas Nmecha,present,Lukas Nmecha,Lukas Nmecha,8463,https://www.fotmob.com/teams/8463/overview/leeds-united,
epl,Leeds,tertiary,Harry Wilson,present,Harry Wilson,Harry Wilson,8463,https://www.fotmob.com/teams/8463/overview/leeds-united,
epl,Liverpool,primary,Dominik Szoboszlai,present,Dominik Szoboszlai,Dominik Szoboszlai,8650,https://www.fotmob.com/teams/8650/overview/liverpool,
epl,Liverpool,secondary,Alexander Isak,present,Alexander Isak,Alexander Isak,8650,https://www.fotmob.com/teams/8650/overview/liverpool,
epl,Liverpool,tertiary,Cody Gakpo,present,Cody Gakpo,Cody Gakpo,8650,https://www.fotmob.com/teams/8650/overview/liverpool,
epl,Manchester City,primary,Erling Haaland,present,Erling Haaland,Erling Haaland,8456,https://www.fotmob.com/teams/8456/overview/manchester-city,
epl,Manchester City,secondary,Jérémy Doku,present,Jérémy Doku,Jérémy Doku,8456,https://www.fotmob.com/teams/8456/overview/manchester-city,
epl,Manchester City,tertiary,Antoine Semenyo,present,Antoine Semenyo,Antoine Semenyo,8456,https://www.fotmob.com/teams/8456/overview/manchester-city,
epl,Manchester United,primary,Bruno Fernandes,present,Bruno Fernandes,Bruno Fernandes,10260,https://www.fotmob.com/teams/10260/overview/manchester-united,
epl,Manchester United,secondary,Bryan Mbeumo,present,Bryan Mbeumo,Bryan Mbeumo,10260,https://www.fotmob.com/teams/10260/overview/manchester-united,
epl,Manchester United,tertiary,Youri Tielemans,present,Youri Tielemans,Youri Tielemans,10260,https://www.fotmob.com/teams/10260/overview/manchester-united,
epl,Newcastle United,primary,Yoane Wissa,present,Yoane Wissa,Yoane Wissa,10261,https://www.fotmob.com/teams/10261/overview/newcastle-united,
epl,Newcastle United,secondary,Matias Fernandez-Pardo,present,Matias Fernandez-Pardo,Matias Fernandez-Pardo,10261,https://www.fotmob.com/teams/10261/overview/newcastle-united,
epl,Newcastle United,tertiary,William Osula,present,William Osula,William Osula,10261,https://www.fotmob.com/teams/10261/overview/newcastle-united,
epl,Nottingham Forest,primary,Chris Wood,present,Chris Wood,Chris Wood,10203,https://www.fotmob.com/teams/10203/overview/nottingham-forest,
epl,Nottingham Forest,secondary,Morgan Gibbs-White,present,Morgan Gibbs-White,Morgan Gibbs-White,10203,https://www.fotmob.com/teams/10203/overview/nottingham-forest,
epl,Nottingham Forest,tertiary,Igor Jesus,present,Igor Jesus,Igor Jesus,10203,https://www.fotmob.com/teams/10203/overview/nottingham-forest,
epl,Sunderland,primary,Habib Diarra,present,Habib Diarra,Habib Diarra,8472,https://www.fotmob.com/teams/8472/overview/sunderland,
epl,Sunderland,secondary,Enzo Le Fee,present,Enzo Le Fée,Enzo Le Fée,8472,https://www.fotmob.com/teams/8472/overview/sunderland,
epl,Sunderland,tertiary,Granit Xhaka,present,Granit Xhaka,Granit Xhaka,8472,https://www.fotmob.com/teams/8472/overview/sunderland,
epl,Tottenham,primary,Dominic Solanke,present,Dominic Solanke,Dominic Solanke,8586,https://www.fotmob.com/teams/8586/overview/tottenham-hotspur,
epl,Tottenham,secondary,Mohammed Kudus,present,Mohammed Kudus,Mohammed Kudus,8586,https://www.fotmob.com/teams/8586/overview/tottenham-hotspur,
epl,Tottenham,tertiary,Xavi Simons,present,Xavi Simons,Xavi Simons,8586,https://www.fotmob.com/teams/8586/overview/tottenham-hotspur,
la-liga,Alaves,primary,Lucas Boyé,present,Lucas Boyé,Lucas Boyé,9866,https://www.fotmob.com/teams/9866/overview/deportivo-alaves,
la-liga,Alaves,secondary,"Antonio ""Toni"" Martínez",present,Toni Martínez,Toni Martínez | Antonio Sivera | Antonio Blanco,9866,https://www.fotmob.com/teams/9866/overview/deportivo-alaves,
la-liga,Alaves,tertiary,Mariano Díaz,present,Mariano Díaz,Mariano Díaz | Adrián Rodriguez | Yorlandiz Diaz,9866,https://www.fotmob.com/teams/9866/overview/deportivo-alaves,
la-liga,Athletic Club,primary,Oihan Sancet,present,Oihan Sancet,Oihan Sancet | Selton Sánchez,8315,https://www.fotmob.com/teams/8315/overview/athletic-club,
la-liga,Athletic Club,secondary,Nico Williams,present,Nico Williams,Nico Williams | Iñaki Williams,8315,https://www.fotmob.com/teams/8315/overview/athletic-club,
la-liga,Athletic Club,tertiary,Gorka Guruzeta,present,Gorka Guruzeta,Gorka Guruzeta,8315,https://www.fotmob.com/teams/8315/overview/athletic-club,
la-liga,Atletico Madrid,primary,Julián Álvarez,present,Julián Álvarez,Julián Álvarez,9906,https://www.fotmob.com/teams/9906/overview/atletico-madrid,
la-liga,Atletico Madrid,secondary,Ademola Lookman,present,Ademola Lookman,Ademola Lookman,9906,https://www.fotmob.com/teams/9906/overview/atletico-madrid,
la-liga,Atletico Madrid,tertiary,Alexander Sørloth,present,Alexander Sørloth,Alexander Sørloth | Alejandro Grimaldo,9906,https://www.fotmob.com/teams/9906/overview/atletico-madrid,
la-liga,Barcelona,primary,Raphinha,present,Raphinha,Raphinha,8634,https://www.fotmob.com/teams/8634/overview/barcelona,
la-liga,Barcelona,secondary,Lamine Yamal,present,Lamine Yamal,Lamine Yamal,8634,https://www.fotmob.com/teams/8634/overview/barcelona,
la-liga,Barcelona,tertiary,Anthony Gordon,present,Anthony Gordon,Anthony Gordon,8634,https://www.fotmob.com/teams/8634/overview/barcelona,
la-liga,Celta Vigo,primary,Borja Iglesias,present,Borja Iglesias,Borja Iglesias,9910,https://www.fotmob.com/teams/9910/overview/celta-vigo,
la-liga,Celta Vigo,secondary,Iago Aspas,present,Iago Aspas,Iago Aspas,9910,https://www.fotmob.com/teams/9910/overview/celta-vigo,
la-liga,Celta Vigo,tertiary,Marcos Alonso,present,Marcos Alonso,Marcos Alonso,9910,https://www.fotmob.com/teams/9910/overview/celta-vigo,
la-liga,Deportivo La Coruna,primary,Yeremay Hernández,present,Yeremay Hernández,Yeremay Hernández | Samu Fernández | Álvaro Fernández,9783,https://www.fotmob.com/teams/9783/overview/deportivo-la-coruna,
la-liga,Deportivo La Coruna,secondary,Pierre-Emerick Aubameyang,present,Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang,9783,https://www.fotmob.com/teams/9783/overview/deportivo-la-coruna,
la-liga,Deportivo La Coruna,tertiary,Zakaria Eddahchouri,present,Zakaria Eddahchouri,Zakaria Eddahchouri,9783,https://www.fotmob.com/teams/9783/overview/deportivo-la-coruna,
la-liga,Elche,primary,Fer Niño,present,Fer Niño,Fer Niño,10268,https://www.fotmob.com/teams/10268/overview/elche,
la-liga,Elche,secondary,Germán Valera,present,Germán Valera,Germán Valera,10268,https://www.fotmob.com/teams/10268/overview/elche,
la-liga,Elche,tertiary,Ali Houary,present,Ali Houary,Ali Houary,10268,https://www.fotmob.com/teams/10268/overview/elche,
la-liga,Espanyol,primary,Roberto Fernández,present,Roberto Fernández,Roberto Fernández | Marcos Fernández | Javi Hernández,8558,https://www.fotmob.com/teams/8558/overview/espanyol,
la-liga,Espanyol,secondary,Pere Milla,present,Pere Milla,Pere Milla,8558,https://www.fotmob.com/teams/8558/overview/espanyol,
la-liga,Espanyol,tertiary,Kike García,present,Kike García,Kike García,8558,https://www.fotmob.com/teams/8558/overview/espanyol,
la-liga,Getafe,primary,Juanmi,present,Juanmi,Juanmi | Johan Mojica,8305,https://www.fotmob.com/teams/8305/overview/getafe,
la-liga,Getafe,secondary,Borja Mayoral,present,Borja Mayoral,Borja Mayoral | Orel Mangala,8305,https://www.fotmob.com/teams/8305/overview/getafe,
la-liga,Getafe,tertiary,Enes Ünal,present,Enes Ünal,Enes Ünal | Jean Ives Valou,8305,https://www.fotmob.com/teams/8305/overview/getafe,
la-liga,Levante,primary,Adrián de la Fuente,present,Adrián De La Fuente,Adrián De La Fuente,8581,https://www.fotmob.com/teams/8581/overview/levante,
la-liga,Levante,secondary,Iván Romero,present,Iván Romero,Iván Romero,8581,https://www.fotmob.com/teams/8581/overview/levante,
la-liga,Levante,tertiary,Carlos Álvarez,present,Carlos Álvarez,Carlos Álvarez,8581,https://www.fotmob.com/teams/8581/overview/levante,
la-liga,Malaga,primary,Chupe,present,Chupe,Chupe,9864,https://www.fotmob.com/teams/9864/overview/malaga,
la-liga,Malaga,secondary,Eneko Jauregi,present,Eneko Jauregi,Eneko Jauregi,9864,https://www.fotmob.com/teams/9864/overview/malaga,
la-liga,Malaga,tertiary,Adrián Niño,present,Adrián Nino,Adrián Nino | Izan Merino | Adam Aznou,9864,https://www.fotmob.com/teams/9864/overview/malaga,
la-liga,Osasuna,primary,Ante Budimir,present,Ante Budimir,Ante Budimir,8371,https://www.fotmob.com/teams/8371/overview/osasuna,
la-liga,Osasuna,secondary,Raúl García de Haro,present,Raúl García,Raúl García | Rubén Garcia,8371,https://www.fotmob.com/teams/8371/overview/osasuna,
la-liga,Osasuna,tertiary,Aimar Oroz,present,Aimar Oroz,Aimar Oroz,8371,https://www.fotmob.com/teams/8371/overview/osasuna,
la-liga,Racing Santander,primary,Andrés Martín,present,Andrés Martin,Andrés Martin | Iván Martin | Aarón Martín,8696,https://www.fotmob.com/teams/8696/overview/racing-santander,
la-liga,Racing Santander,secondary,Sergio Canales,present,Sergio Canales,Sergio Canales,8696,https://www.fotmob.com/teams/8696/overview/racing-santander,
la-liga,Racing Santander,tertiary,Juan Carlos Arana,present,Juan Carlos Arana,Juan Carlos Arana | Carlos Sanchez | Aarón Martín,8696,https://www.fotmob.com/teams/8696/overview/racing-santander,
la-liga,Rayo Vallecano,primary,Isi Palazón,present,Isi Palazón,Isi Palazón,8370,https://www.fotmob.com/teams/8370/overview/rayo-vallecano,
la-liga,Rayo Vallecano,secondary,Jorge de Frutos,present,Jorge de Frutos,Jorge de Frutos | Raúl de Tomás,8370,https://www.fotmob.com/teams/8370/overview/rayo-vallecano,
la-liga,Rayo Vallecano,tertiary,Pedro Díaz,present,Pedro Díaz,Pedro Díaz,8370,https://www.fotmob.com/teams/8370/overview/rayo-vallecano,
la-liga,Real Betis,primary,Isco,present,Isco,Isco,8603,https://www.fotmob.com/teams/8603/overview/real-betis,
la-liga,Real Betis,secondary,Cucho Hernández,present,Juan Hernández,Juan Hernández,8603,https://www.fotmob.com/teams/8603/overview/real-betis,
la-liga,Real Betis,tertiary,Giovani Lo Celso,present,Giovani Lo Celso,Giovani Lo Celso | Dani Ceballos,8603,https://www.fotmob.com/teams/8603/overview/real-betis,
la-liga,Real Madrid,primary,Kylian Mbappé,present,Kylian Mbappé,Kylian Mbappé | Yan Diomande,8633,https://www.fotmob.com/teams/8633/overview/real-madrid,
la-liga,Real Madrid,secondary,Vinícius Júnior,present,Vinícius Júnior,Vinícius Júnior,8633,https://www.fotmob.com/teams/8633/overview/real-madrid,
la-liga,Real Madrid,tertiary,Jude Bellingham,present,Jude Bellingham,Jude Bellingham,8633,https://www.fotmob.com/teams/8633/overview/real-madrid,
la-liga,Real Sociedad,primary,Mikel Oyarzabal,present,Mikel Oyarzabal,Mikel Oyarzabal,8560,https://www.fotmob.com/teams/8560/overview/real-sociedad,
la-liga,Real Sociedad,secondary,Carlos Soler,present,Carlos Soler,Carlos Soler,8560,https://www.fotmob.com/teams/8560/overview/real-sociedad,
la-liga,Real Sociedad,tertiary,Gonçalo Guedes,present,Gonçalo Guedes,Gonçalo Guedes,8560,https://www.fotmob.com/teams/8560/overview/real-sociedad,
la-liga,Sevilla,primary,Jon Guridi,present,Jon Guridi,Jon Guridi,8302,https://www.fotmob.com/teams/8302/overview/sevilla,
la-liga,Sevilla,secondary,Peque Fernández,present,Peque Fernández,Peque Fernández,8302,https://www.fotmob.com/teams/8302/overview/sevilla,
la-liga,Sevilla,tertiary,Isaac Romero,present,Isaac Romero,Isaac Romero,8302,https://www.fotmob.com/teams/8302/overview/sevilla,
la-liga,Valencia,primary,Hugo Duro,present,Hugo Duro,Hugo Duro,10267,https://www.fotmob.com/teams/10267/overview/valencia,
la-liga,Valencia,secondary,Pepelu,present,Pepelu,Pepelu,10267,https://www.fotmob.com/teams/10267/overview/valencia,
la-liga,Valencia,tertiary,Arnaut Danjuma,present,Arnaut Danjuma,Arnaut Danjuma | Arnau Martínez,10267,https://www.fotmob.com/teams/10267/overview/valencia,
la-liga,Villarreal,primary,Gerard Moreno,present,Gerard Moreno,Gerard Moreno,10205,https://www.fotmob.com/teams/10205/overview/villarreal,
la-liga,Villarreal,secondary,Georges Mikautadze,present,Georges Mikautadze,Georges Mikautadze,10205,https://www.fotmob.com/teams/10205/overview/villarreal,
la-liga,Villarreal,tertiary,Nicolas Pépé,present,Nicolas Pépé,Nicolas Pépé,10205,https://www.fotmob.com/teams/10205/overview/villarreal,
ligue-1,Angers,primary,Amine El Ouazzani,present,Amine El Ouazzani,Amine El Ouazzani | Amine Sbaï,8121,https://www.fotmob.com/teams/8121/overview/angers,
ligue-1,Angers,secondary,Branco van den Boomen,present,Branco van den Boomen,Branco van den Boomen,8121,https://www.fotmob.com/teams/8121/overview/angers,
ligue-1,Angers,tertiary,Amine Sbaï,present,Amine Sbaï,Amine Sbaï | Amine El Ouazzani | Usman Simbakoli,8121,https://www.fotmob.com/teams/8121/overview/angers,
ligue-1,Auxerre,primary,Danny Namaso,present,Danny Namaso,Danny Namaso,8583,https://www.fotmob.com/teams/8583/overview/auxerre,
