tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2025-0336,Hong Kong,Hard,28,A,20241230,358,209113,2,,Gabriel Diallo,R,203,CAN,23.2,126409,8,,Hugo Grenier,R,196,FRA,28.7,4-6 6-1 7-5,3,Q2,112,11,0,79,62,47,12,15,0,1,7,3,75,55,37,12,14,4,7,87,643,155,379
2025-0336,Hong Kong,Hard,28,A,20241230,357,208279,,,Alejandro Moro Canas,R,183,ESP,24.0,200666,,WC,Jie Cui,R,183,CHN,26.9,6-2 6-3,3,Q2,85,8,2,57,36,29,12,9,5,5,2,0,54,43,28,4,8,2,5,169,345,360,138
2025-0336,Hong Kong,Hard,28,A,20241230,356,208859,4,,Francesco Passaro,R,180,ITA,23.9,106187,,,Denis Yevseyev,R,188,KAZ,31.6,4-6 6-2 6-4,3,Q2,117,4,2,80,46,33,19,14,2,5,4,1,99,64,43,10,14,7,12,108,570,246,233
2025-0336,Hong Kong,Hard,28,A,20241230,355,200303,1,,Pavel Kotov,R,191,RUS,26.1,208316,,,Valentin Royer,R,188,FRA,23.5,3-6 7-5 7-6(5),3,Q1,156,10,5,92,58,43,19,16,1,4,10,1,112,68,49,24,17,7,10,86,655,197,292
2025-0336,Hong Kong,Hard,28,A,20241230,354,144817,,,Marc Andrea Huesler,L,196,SUI,28.5,111513,5,,Laslo Djere,R,188,SRB,29.5,7-5 6-4,3,Q1,101,4,0,65,45,34,10,11,0,1,11,3,79,47,34,12,11,4,7,159,376,115,519
2025-0336,Hong Kong,Hard,28,A,20241230,353,209113,2,,Gabriel Diallo,R,203,CAN,23.2,207132,,WC,Ki Lung Ng,R,,HKG,23.4,7-6(2) 6-2,3,Q1,111,5,3,59,43,35,9,10,0,0,0,6,86,56,31,16,10,5,7,87,643,,
2025-0336,Hong Kong,Hard,28,A,20241230,352,126409,8,,Hugo Grenier,R,196,FRA,28.7,209279,,,Terence Atmane,L,193,FRA,22.9,3-6 6-3 6-4,3,Q1,112,8,5,77,50,42,10,14,2,4,11,7,93,59,40,18,14,4,7,155,379,158,376
2025-0336,Hong Kong,Hard,28,A,20241230,351,208279,,,Alejandro Moro Canas,R,183,ESP,24.0,127157,3,,Daniel Altmaier,R,188,GER,26.2,6-4 6-3,3,Q1,75,5,2,49,38,35,5,10,0,0,4,0,55,34,26,7,9,2,4,169,345,89,640
2025-0336,Hong Kong,Hard,28,A,20241230,350,200666,,WC,Jie Cui,R,183,CHN,26.9,207678,6,,Juan Manuel Cerundolo,L,183,ARG,23.1,6-2 6-4,3,Q1,100,4,4,65,44,30,11,9,5,6,9,3,62,30,20,15,9,10,14,360,138,139,428
2025-0336,Hong Kong,Hard,28,A,20241230,349,208859,4,,Francesco Passaro,R,180,ITA,23.9,144826,,,Aziz Dougaz,L,188,TUN,27.7,7-5 4-6 6-3,3,Q1,119,6,2,93,56,41,21,16,3,6,6,4,79,52,37,11,15,4,8,108,570,227,254
2025-0336,Hong Kong,Hard,28,A,20241230,348,106187,,,Denis Yevseyev,R,188,KAZ,31.6,106426,7,,Cristian Garin,R,185,CHI,28.5,6-4 2-6 6-2,3,Q1,105,5,3,77,45,36,16,13,7,9,2,3,82,52,35,17,13,2,5,246,233,152,382
2025-8998,Adelaide,Hard,28,A,20250106,350,105870,,,Yannick Hanfmann,R,193,GER,33.1,131905,,Alt,Manuel Guinard,R,198,FRA,29.1,7-6(1) 6-3,3,Q2,91,9,2,82,63,46,7,11,9,11,3,6,54,27,21,11,10,1,4,98,615,261,209
2025-8998,Adelaide,Hard,28,A,20250106,349,105902,7,,James Duckworth,R,183,AUS,32.9,210553,,WC,Jacob Bradshaw,R,188,AUS,22.2,6-2 6-2,3,Q2,64,0,1,39,30,25,7,8,0,0,3,2,59,41,22,9,8,2,6,94,624,575,60
2025-8998,Adelaide,Hard,28,A,20250106,348,200443,,,Adam Walton,R,183,AUS,25.7,208014,3,,Rinky Hijikata,R,178,AUS,23.8,1-6 7-6(4) 6-4,3,Q2,141,4,3,96,56,44,15,14,6,9,9,6,92,57,44,17,15,5,7,91,636,79,712
2025-8998,Adelaide,Hard,28,A,20250106,347,126127,4,,Benjamin Bonzi,R,183,FRA,28.5,210317,,WC,James Mccabe,R,188,AUS,21.5,6-3 4-6 6-3,3,Q2,135,2,4,87,51,39,15,14,6,9,8,4,85,54,34,16,14,3,8,70,762,258,216
2025-8998,Adelaide,Hard,28,A,20250106,346,131905,,Alt,Manuel Guinard,R,198,FRA,29.1,106121,,,Taro Daniel,R,191,JPN,31.9,7-5 6-4,3,Q1,99,6,1,60,30,23,22,11,2,2,5,3,72,45,36,10,11,5,7,261,209,84,674
2025-8998,Adelaide,Hard,28,A,20250106,345,105870,,,Yannick Hanfmann,R,193,GER,33.1,200384,5,,Hugo Gaston,L,173,FRA,24.2,3-6 7-6(2) 6-2,3,Q1,122,5,3,81,55,39,17,14,3,5,3,3,98,55,38,21,15,5,8,98,615,81,703
2025-8998,Adelaide,Hard,28,A,20250106,344,210553,,WC,Jacob Bradshaw,R,188,AUS,22.2,111460,2,,Quentin Halys,R,191,FRA,28.1,2-2 RET,3,Q1,19,3,0,8,6,6,2,2,0,0,1,3,23,13,10,3,2,2,2,575,60,71,756
2025-8998,Adelaide,Hard,28,A,20250106,343,105902,7,,James Duckworth,R,183,AUS,32.9,200303,,,Pavel Kotov,R,191,RUS,26.1,7-6(3) 6-7(7) 7-6(5),3,Q1,180,8,4,134,82,60,31,18,5,7,14,1,121,82,63,20,18,4,6,94,624,99,612
2025-8998,Adelaide,Hard,28,A,20250106,342,208014,3,,Rinky Hijikata,R,178,AUS,23.8,117357,,Alt,Omar Jasika,L,183,AUS,27.6,6-0 2-1 RET,3,Q1,35,2,1,19,13,11,5,4,0,0,0,2,24,10,4,3,5,0,4,79,712,180,323
2025-8998,Adelaide,Hard,28,A,20250106,341,200443,,,Adam Walton,R,183,AUS,25.7,105583,6,,Dusan Lajovic,R,183,SRB,34.5,6-4 4-6 6-3,3,Q1,124,7,0,93,58,44,15,15,9,12,8,3,84,56,36,13,14,2,6,91,636,75,742
2025-8998,Adelaide,Hard,28,A,20250106,340,126127,4,,Benjamin Bonzi,R,183,FRA,28.5,104926,,,Fabio Fognini,R,178,ITA,37.6,3-2 RET,3,Q1,27,1,1,17,12,9,3,3,0,0,1,4,18,9,8,3,2,0,0,70,762,89,637
2025-8998,Adelaide,Hard,28,A,20250106,339,210317,,WC,James Mccabe,R,188,AUS,21.5,106000,8,,Damir Dzumhur,R,175,BIH,32.6,6-4 3-6 7-5,3,Q1,169,4,7,100,64,41,14,16,6,13,1,7,106,70,35,19,15,8,15,258,216,83,679
2025-0301,Auckland,Hard,28,A,20250106,359,111576,8,,Sumit Nagal,R,178,IND,27.3,105173,1,,Adrian Mannarino,L,180,FRA,36.5,7-6(5) 6-3,3,Q2,107,2,0,74,47,33,12,11,7,10,5,2,66,37,22,15,10,5,9,96,622,73,744
2025-0301,Auckland,Hard,28,A,20250106,358,200267,2,,Zizou Bergs,R,185,BEL,25.5,207681,5,,Francisco Comesana,R,178,ARG,24.2,3-6 6-4 6-3,3,Q2,138,5,3,81,52,36,15,14,3,6,5,6,96,60,38,17,14,6,10,66,783,85,661
2025-0301,Auckland,Hard,28,A,20250106,357,208134,7,,Luca Nardi,R,185,ITA,21.4,207680,3,,Facundo Diaz Acosta,L,183,ARG,24.0,7-5 6-7(2) 6-2,3,Q2,154,5,6,92,56,50,17,16,1,2,2,2,105,71,49,19,16,3,7,90,637,78,714
2025-0301,Auckland,Hard,28,A,20250106,356,210460,,,Nishesh Basavareddy,R,180,USA,19.6,127157,6,,Daniel Altmaier,R,188,GER,26.3,6-2 6-1,3,Q2,62,1,0,39,20,19,13,8,0,0,6,0,48,32,19,5,7,2,6,133,453,93,625
2025-0301,Auckland,Hard,28,A,20250106,355,105173,1,,Adrian Mannarino,L,180,FRA,36.5,208502,,PR,Dominic Stricker,L,183,SUI,22.3,6-4 6-4,3,Q1,81,4,3,59,31,22,18,10,3,4,2,5,61,38,27,9,10,3,6,73,744,298,173
2025-0301,Auckland,Hard,28,A,20250106,354,111576,8,,Sumit Nagal,R,178,IND,27.3,126216,,WC,Alexander Klintcharov,R,188,NZL,28.3,1-6 6-3 6-1,3,Q1,114,2,1,66,38,26,18,11,3,5,2,2,76,56,33,10,12,2,6,96,622,791,29
2025-0301,Auckland,Hard,28,A,20250106,353,200267,2,,Zizou Bergs,R,185,BEL,25.5,105807,,,Pablo Carreno Busta,R,188,ESP,33.4,2-6 7-6(6) 6-4,3,Q1,155,11,1,107,71,49,17,15,11,15,1,2,102,72,49,14,15,6,9,66,783,184,317
2025-0301,Auckland,Hard,28,A,20250106,352,207681,5,,Francisco Comesana,R,178,ARG,24.2,126125,,Alt,Maxime Janvier,R,196,FRA,28.2,6-1 6-7(5) 6-3,3,Q1,123,7,4,113,75,57,15,15,7,8,5,7,92,49,33,19,13,5,9,85,661,293,175
2025-0301,Auckland,Hard,28,A,20250106,351,207680,3,,Facundo Diaz Acosta,L,183,ARG,24.0,208055,,WC,Ajeet Rai,R,188,NZL,25.9,6-4 6-2,3,Q1,75,2,1,47,33,26,8,9,2,3,3,5,57,32,22,9,9,3,7,78,714,486,82
2025-0301,Auckland,Hard,28,A,20250106,350,208134,7,,Luca Nardi,R,185,ITA,21.4,109054,,,Daniel Masur,R,183,GER,30.1,6-7(3) 6-4 6-2,3,Q1,124,15,3,83,54,45,15,15,0,1,4,5,107,66,44,19,15,11,15,90,637,256,217
2025-0301,Auckland,Hard,28,A,20250106,349,210460,,,Nishesh Basavareddy,R,180,USA,19.6,122298,4,,Botic Van De Zandschulp,R,191,NED,29.2,6-7(3) 7-5 6-3,3,Q1,173,6,8,116,66,50,25,17,5,7,13,8,112,67,46,23,16,4,8,133,453,82,697
2025-0301,Auckland,Hard,28,A,20250106,348,127157,6,,Daniel Altmaier,R,188,GER,26.3,200277,,Alt,Charles Broom,R,178,GBR,26.7,7-5 6-1,3,Q1,91,10,6,80,49,38,9,10,8,10,2,5,54,38,22,4,9,5,10,93,625,277,191
2025-580,Australian Open,Hard,128,G,20250113,700,136440,1,,Dominik Koepfer,L,180,GER,30.7,209860,,,Ignacio Buse,R,185,PER,20.8,2-6 6-3 7-6(5),3,Q1,135,5,9,95,54,39,22,15,2,5,6,1,104,75,53,12,14,9,11,124,485,236,243
2025-580,Australian Open,Hard,128,G,20250113,701,210319,,,Ethan Quinn,R,191,USA,20.8,123921,,,Calvin Hemery,R,191,FRA,29.9,6-4 7-5,3,Q1,92,5,6,58,34,26,13,11,3,5,3,8,71,40,22,17,11,2,6,166,343,201,286
2025-580,Australian Open,Hard,128,G,20250113,702,134329,,WC,Blake Ellis,R,191,AUS,26.0,105938,,,Antoine Escoffier,R,185,FRA,32.8,6-2 6-1,3,Q1,58,2,0,45,22,17,15,8,0,1,1,6,44,23,10,7,7,1,6,337,149,205,277
2025-580,Australian Open,Hard,128,G,20250113,703,133297,,,Yosuke Watanuki,R,180,JPN,26.7,207678,30,,Juan Manuel Cerundolo,L,183,ARG,23.1,6-3 7-6(3),3,Q1,94,9,3,62,35,27,15,11,1,3,1,7,78,40,29,14,10,3,7,346,146,139,428
2025-580,Australian Open,Hard,128,G,20250113,704,208233,2,,Mattia Bellucci,L,175,ITA,23.6,211727,,WC,Pavle Marinkov,R,188,AUS,18.9,6-3 6-3,3,Q1,87,10,2,52,25,22,18,9,1,1,4,5,65,41,28,9,9,1,4,100,605,882,20
2025-580,Australian Open,Hard,128,G,20250113,705,209279,,,Terence Atmane,L,193,FRA,23.0,202354,,WC,Matthew Dellavedova,R,191,AUS,24.6,4-6 6-3 6-3,3,Q1,126,7,3,80,47,30,19,14,2,6,1,3,97,67,41,11,14,6,12,154,376,389,124
2025-580,Australian Open,Hard,128,G,20250113,706,208118,,,Eliot Spizzirri,R,183,USA,23.0,210696,,,Alexander Blockx,R,191,BEL,19.7,3-6 6-1 7-5,3,Q1,127,4,2,75,48,39,10,14,0,3,2,3,106,66,37,20,14,10,15,232,253,203,280
2025-580,Australian Open,Hard,128,G,20250113,707,127760,28,,Lukas Klein,R,193,SVK,26.8,200008,,,Alexis Galarneau,R,180,CAN,25.8,6-4 3-6 7-5,3,Q1,120,6,4,89,55,45,13,16,4,6,2,2,100,66,51,12,15,4,7,144,405,198,288
2025-580,Australian Open,Hard,128,G,20250113,708,105916,3,,Marton Fucsovics,R,188,HUN,32.9,106177,,,Oriol Roca Batalla,R,175,ESP,31.7,6-4 6-4,3,Q1,84,5,1,49,31,25,13,10,1,2,0,3,70,44,29,11,10,3,6,99,611,225,259
2025-580,Australian Open,Hard,128,G,20250113,709,210012,,,Henrique Rocha,R,180,POR,20.7,202260,,,Henri Squire,R,196,GER,24.2,6-3 6-3,3,Q1,61,5,0,43,28,21,12,9,0,1,1,2,63,30,20,15,9,6,10,174,334,178,325
2025-580,Australian Open,Hard,128,G,20250113,710,209903,,,Lukas Neumayer,R,183,AUT,22.3,209284,,,Elmer Moller,R,183,DEN,21.5,6-7(5) 6-3 6-4,3,Q1,149,4,5,120,72,53,20,16,5,7,11,7,108,65,46,17,15,5,9,221,262,160,357
2025-580,Australian Open,Hard,128,G,20250113,711,209263,32,,Matteo Gigante,L,180,ITA,23.0,200572,,,Nick Hardt,R,185,DOM,24.3,6-2 6-2,3,Q1,67,4,5,54,34,24,7,8,3,5,0,4,42,18,9,4,8,1,7,145,403,202,282
2025-580,Australian Open,Hard,128,G,20250113,712,111153,4,,Christopher Eubanks,R,201,USA,28.6,126409,,,Hugo Grenier,R,196,FRA,28.8,7-6(1) 7-5,3,Q1,97,5,2,70,50,39,15,12,3,4,5,7,84,56,38,12,12,3,5,102,582,153,379
2025-580,Australian Open,Hard,128,G,20250113,713,208279,,,Alejandro Moro Canas,R,183,ESP,24.1,122669,,,Juan Pablo Varillas,R,185,PER,29.2,6-7(3) 7-6(6) 6-4,3,Q1,209,1,4,113,77,46,20,17,3,8,3,4,122,66,40,32,17,7,13,165,346,207,272
2025-580,Australian Open,Hard,128,G,20250113,714,144642,,,Tomas Barrios Vera,R,191,CHI,27.0,207182,,,Emilio Nava,R,185,USA,23.1,7-6(0) 7-6(3),3,Q1,111,0,1,79,60,47,10,12,2,3,11,0,73,43,30,18,12,0,1,152,380,211,269
2025-580,Australian Open,Hard,128,G,20250113,715,207729,26,,Tristan Boyer,R,188,USA,23.7,210536,,WC,Rei Sakamoto,R,193,JPN,18.5,6-0 6-2,3,Q1,63,5,1,50,30,21,12,7,4,4,6,1,45,26,12,6,7,2,7,136,448,369,135
2025-580,Australian Open,Hard,128,G,20250113,716,208859,5,,Francesco Passaro,R,180,ITA,24.0,206748,,,Giulio Zeppieri,L,183,ITA,23.1,6-3 7-6(3),3,Q1,99,6,0,68,46,37,14,11,3,3,5,1,79,53,37,12,10,6,7,104,571,246,233
2025-580,Australian Open,Hard,128,G,20250113,717,200266,,,Javier Barranco Cosano,L,180,ESP,26.1,106057,,,Facundo Mena,R,183,ARG,32.3,6-4 6-2,3,Q1,74,4,1,50,34,24,11,9,3,4,2,3,54,29,22,6,9,0,4,229,255,220,262
2025-580,Australian Open,Hard,128,G,20250113,718,105932,,,Nikoloz Basilashvili,R,185,GEO,32.8,213178,,WC,Cruz Hewitt,U,,AUS,16.0,6-1 6-4,3,Q1,73,7,3,54,33,25,12,9,2,3,0,2,65,29,18,15,8,8,12,206,273,1263,6
2025-580,Australian Open,Hard,128,G,20250113,719,208230,,,Alibek Kachmazov,R,185,RUS,22.4,208278,22,,Shintaro Mochizuki,R,175,JPN,21.6,6-3 7-6(1),3,Q1,87,6,0,63,35,25,17,11,0,2,0,2,61,36,24,10,10,1,4,195,296,169,341
2025-580,Australian Open,Hard,128,G,20250113,720,106329,6,,Thiago Monteiro,L,183,BRA,30.6,106186,,,Jason Kubler,R,178,AUS,31.6,7-6(4) 7-6(4),3,Q1,116,12,4,77,48,39,18,12,4,5,7,2,81,57,39,16,12,2,3,105,566,837,24
2025-580,Australian Open,Hard,128,G,20250113,721,208316,,,Valentin Royer,R,188,FRA,23.6,117360,,WC,Marc Polmans,R,188,AUS,27.7,6-3 6-0,3,Q1,56,11,2,51,33,28,9,8,2,2,4,3,35,21,12,5,7,1,5,209,272,323,155
2025-580,Australian Open,Hard,128,G,20250113,722,106293,,,Kimmer Coppejans,R,178,BEL,30.9,200188,,,Matteo Martineau,R,183,FRA,25.9,2-6 7-6(5) 6-1,3,Q1,114,10,0,80,48,36,18,14,1,4,10,6,90,61,44,13,13,7,10,363,138,215,267
2025-580,Australian Open,Hard,128,G,20250113,723,200473,31,,Valentin Vacherot,R,193,MON,26.1,144817,,,Marc Andrea Huesler,L,196,SUI,28.5,6-3 6-4,3,Q1,73,6,1,60,40,29,12,10,1,1,7,2,51,25,20,14,9,4,6,200,286,163,351
2025-580,Australian Open,Hard,128,G,20250113,724,206499,7,,Aleksandar Kovacevic,R,183,USA,26.3,105911,,,Andrea Collarini,L,183,ARG,32.9,7-6(5) 6-4,3,Q1,95,11,2,66,46,41,9,11,0,0,3,0,57,39,32,13,11,1,2,109,547,204,280
2025-580,Australian Open,Hard,128,G,20250113,725,206904,,,Gauthier Onclin,R,180,BEL,23.8,208882,,,Roman Andres Burruchaga,R,183,ARG,22.9,1-6 6-0 7-6(7),3,Q1,117,0,0,80,44,31,20,13,3,6,7,0,78,60,41,7,12,2,6,239,242,151,382
2025-580,Australian Open,Hard,128,G,20250113,726,200587,,,Brandon Holt,R,185,USA,26.7,126149,,,Gianluca Mager,R,188,ITA,30.1,7-6(6) 6-2,3,Q1,79,10,0,69,59,46,7,10,8,8,6,1,68,41,32,12,10,5,7,210,271,228,255
2025-580,Australian Open,Hard,128,G,20250113,727,111456,25,,Mackenzie Mcdonald,R,178,USA,29.7,106109,,,Alex Bolt,L,183,AUS,32.0,6-2 6-2,3,Q1,73,4,1,54,40,29,9,8,5,5,5,4,62,41,24,6,8,6,10,130,464,172,339
2025-580,Australian Open,Hard,128,G,20250113,728,144826,,,Aziz Dougaz,L,188,TUN,27.8,207411,8,,Jesper De Jong,R,180,NED,24.6,6-7(5) 6-1 7-6(5),3,Q1,164,8,3,118,79,57,22,16,5,7,7,3,108,63,46,20,15,4,8,231,254,111,540
2025-580,Australian Open,Hard,128,G,20250113,729,133975,,,Benjamin Hassan,R,183,LBN,29.9,200711,,,Nicolas Mejia,R,183,COL,24.9,6-4 5-7 6-4,3,Q1,155,7,6,103,53,40,25,16,3,6,2,3,111,69,44,22,16,6,10,223,260,224,260
2025-580,Australian Open,Hard,128,G,20250113,730,127339,,,Borna Gojo,R,196,CRO,26.8,207608,,,Timofey Skatov,R,175,KAZ,23.9,6-3 6-4,3,Q1,74,15,1,50,35,31,10,10,3,3,3,0,57,40,27,8,9,5,7,448,95,194,296
2025-580,Australian Open,Hard,128,G,20250113,731,200240,24,,Vit Kopriva,R,178,CZE,27.5,106005,,,Constant Lestienne,R,180,FRA,32.6,6-3 4-1 RET,3,Q1,64,3,1,43,28,20,7,7,3,5,0,0,45,29,13,4,7,3,8,126,478,177,325
2025-580,Australian Open,Hard,128,G,20250113,732,210136,,,Mark Lajal,R,191,EST,21.6,105062,9,,Mikhail Kukushkin,R,183,KAZ,37.0,6-0 6-2,3,Q1,60,6,1,43,29,23,6,7,1,2,1,1,42,29,12,3,7,1,7,235,245,110,547
2025-580,Australian Open,Hard,128,G,20250113,733,200647,,,Sho Shimabukuro,R,180,JPN,27.4,105430,,,Radu Albot,R,175,MDA,35.1,6-2 6-3,3,Q1,75,6,2,49,19,16,17,9,2,3,1,4,63,37,22,8,8,3,8,191,303,157,369
2025-580,Australian Open,Hard,128,G,20250113,734,208013,,WC,Dane Sweeny,R,170,AUS,23.9,105732,,,Pierre Hugues Herbert,R,188,FRA,33.8,7-6(4) 6-2,3,Q1,90,2,1,65,44,34,8,10,4,7,8,6,66,37,24,15,10,5,10,322,155,147,391
2025-580,Australian Open,Hard,128,G,20250113,735,210262,17,,Jaime Faria,R,188,POR,21.4,133835,,,Gijs Brouwer,L,191,NED,28.8,6-4 6-3,3,Q1,63,5,3,57,34,27,16,10,0,0,7,2,53,38,29,5,9,3,5,125,481,189,308
2025-580,Australian Open,Hard,128,G,20250113,736,111513,10,,Laslo Djere,R,188,SRB,29.6,208361,,,Gustavo Heide,R,191,BRA,22.8,6-3 6-1,3,Q1,64,8,1,41,25,21,10,8,1,2,1,0,51,31,15,9,8,5,10,114,519,175,332
2025-580,Australian Open,Hard,128,G,20250113,737,106426,,,Cristian Garin,R,185,CHI,28.6,123961,,,Murkel Alejandro Dellien Velasco,R,193,BOL,27.3,6-3 6-1,3,Q1,63,5,0,43,34,27,3,8,0,1,1,1,51,38,19,5,8,4,9,150,382,184,314
2025-580,Australian Open,Hard,128,G,20250113,738,209874,,,Maks Kasnikowski,R,180,POL,21.5,209147,,,Vilius Gaubas,R,178,LTU,20.0,6-7(7) 7-6(2) 6-2,3,Q1,166,7,1,95,57,47,24,16,1,2,8,1,112,77,56,14,16,4,7,214,267,187,311
